locality_id,suburb_name,locality_class,state,lat,lon
loc14619c0ba705,Beremboke,Gazetted Locality,VIC,-37.787938,144.217977
loc539ea6329e6a,Berrimal,Gazetted Locality,VIC,-36.49819,143.475647
loc4a7ec2b4b43b,Berringa,Gazetted Locality,VIC,-37.771399,143.668992
loc186e8c505de6,Berringama,Gazetted Locality,VIC,-36.198212,147.651824
locf3b20d55e2bc,Berriwillock,Gazetted Locality,VIC,-35.644363,142.961112
loc8d2c2c331dbf,Berrybank,Gazetted Locality,VIC,-37.969202,143.501777
locb36d276aac72,Berrys Creek,Gazetted Locality,VIC,-38.41276,146.067908
loc4df40037d8c0,Berwick,Gazetted Locality,VIC,-38.042064,145.344298
locc2c8c551a607,Bessiebelle,Gazetted Locality,VIC,-38.149336,141.931294
loca31144ad1f65,Bet Bet,Gazetted Locality,VIC,-36.923698,143.749725
locff3488ad6e7a,Bete Bolong,Gazetted Locality,VIC,-37.688337,148.297236
loc62bcc8f53e0e,Bete Bolong North,Gazetted Locality,VIC,-37.595611,148.293903
locdd89ace20c8e,Bethanga,Gazetted Locality,VIC,-36.151958,147.116253
loc4c3379732a06,Betley,Gazetted Locality,VIC,-36.917726,143.794426
loc755170fc7fc4,Beulah,Gazetted Locality,VIC,-35.921568,142.420058
locecb296d87bd2,Beverford,Gazetted Locality,VIC,-35.221575,143.479464
loc4161e46afd2f,Beveridge,Gazetted Locality,VIC,-37.475602,144.974244
loc02aee4626a98,Big Desert,Gazetted Locality,VIC,-35.641709,141.480128
loceea9a0018be6,Big Hill,Gazetted Locality,VIC,-36.836486,144.232217
locfa8eb1577adf,Big Hill,Gazetted Locality,VIC,-38.479458,144.00921
locb682b64a0bfb,Big Pats Creek,Gazetted Locality,VIC,-37.767596,145.760023
loca01824678e86,Biggara,Gazetted Locality,VIC,-36.342073,148.012304
locbd756139d2b9,Billabong,Gazetted Locality,VIC,-37.251516,146.816983
loc4a5fcd265b2b,Bimbourie,Gazetted Locality,VIC,-35.335426,142.762513
locdc5327a32b66,Bindi,Gazetted Locality,VIC,-37.109622,147.845054
locf30e0cf1b9e1,Binginwarri,Gazetted Locality,VIC,-38.59424,146.448101
loc799b31df8dcd,Bingo Munjie,Gazetted Locality,VIC,-37.007756,147.562958
locc04e3faec15a,Birchip,Gazetted Locality,VIC,-35.998626,142.924516
loc02d3c319cfb8,Birchip West,Gazetted Locality,VIC,-36.015928,142.81565
loc325c0b30e951,Birdwoodton,Gazetted Locality,VIC,-34.199689,142.068618
loc01699d7adbaa,Birregurra,Gazetted Locality,VIC,-38.34292,143.823507
loca04892bcffe9,Bittern,Gazetted Locality,VIC,-38.338317,145.174837
loc29baf1548f7a,Black Hill,Gazetted Locality,VIC,-37.549855,143.873257
locab2619c6639f,Black Range,Gazetted Locality,VIC,-37.132773,142.765853
locad899e5d272f,Black Rock,Gazetted Locality,VIC,-37.973476,145.024347
loc10fc59c40668,Blackburn,Gazetted Locality,VIC,-37.821482,145.151009
loc786911d8fa57,Blackburn North,Gazetted Locality,VIC,-37.804702,145.155322
loc693599a76582,Blackburn South,Gazetted Locality,VIC,-37.839684,145.147005
loc4c8a477b2232,Blackheath,Gazetted Locality,VIC,-36.481354,142.286202
loc8309ee2d6d31,Blackwarry,Gazetted Locality,VIC,-38.413089,146.617009
loca1adbd73e198,Blackwood,Gazetted Locality,VIC,-37.488816,144.286908
loc7f158a48110c,Blairgowrie,Gazetted Locality,VIC,-38.370648,144.773556
loc0e644525b036,Blakeville,Gazetted Locality,VIC,-37.477582,144.208097
loc8db5d9e879c9,Blampied,Gazetted Locality,VIC,-37.352088,144.02191
loc8c47868d94a0,Blind Bight,Gazetted Locality,VIC,-38.214496,145.334643
locb22346216815,Blowhard,Gazetted Locality,VIC,-37.429004,143.787751
locd822612ba174,Bo Peep,Gazetted Locality,VIC,-37.545554,143.666137
loc81b0633f239e,Bobinawarrah,Gazetted Locality,VIC,-36.536086,146.489471
loc25349ac08f9b,Bochara,Gazetted Locality,VIC,-37.69033,141.900819
loc58fa3791b4e9,Bogong,Gazetted Locality,VIC,-36.796948,147.221549
locc7e7e73ee8e7,Boho,Gazetted Locality,VIC,-36.66863,145.795879
loc1680fce821e6,Boho South,Gazetted Locality,VIC,-36.772774,145.827126
loc3be37dd4e9f1,Boigbeat,Gazetted Locality,VIC,-35.561491,142.957227
loccdd24cb9215b,Boinka,Gazetted Locality,VIC,-35.157515,141.588695
loca861f6ca2ab3,Boisdale,Gazetted Locality,VIC,-37.856375,146.96545
loc6eda168c3798,Bolangum,Gazetted Locality,VIC,-36.71538,142.998082
