suburb_name,state,lat,lon,postcode
BIMBOURIE,VIC,-35.335426,142.762513,3533.0
BINDI,VIC,-37.109622,147.845054,3896.0
BINDI,VIC,-37.109622,147.845054,3896.0
BINGINWARRI,VIC,-38.59424,146.448101,3966.0
BINGO MUNJIE,VIC,-37.007756,147.562958,3898.0
BIRCHIP,VIC,-35.998626,142.924516,3483.0
BIRCHIP WEST,VIC,-36.015928,142.81565,3483.0
BIRCHIP WEST,VIC,-36.015928,142.81565,3483.0
BIRDWOODTON,VIC,-34.199689,142.068618,3505.0
BIRDWOODTON,VIC,-34.199689,142.068618,3505.0
BIRREGURRA,VIC,-38.34292,143.823507,3242.0
BITTERN,VIC,-38.338317,145.174837,3918.0
BLACK HILL,VIC,-37.549855,143.873257,3350.0
BLACK RANGE,VIC,-37.132773,142.765853,
BLACK ROCK,VIC,-37.973476,145.024347,
BLACKBURN,VIC,-37.821482,145.151009,
BLACKBURN NORTH,VIC,-37.804702,145.155322,
BLACKBURN SOUTH,VIC,-37.839684,145.147005,
BLACKHEATH,VIC,-36.481354,142.286202,
BLACKWARRY,VIC,-38.413089,146.617009,
BLACKWOOD,VIC,-37.488816,144.286908,
BLAIRGOWRIE,VIC,-38.370648,144.773556,
BLAKEVILLE,VIC,-37.477582,144.208097,
BLAMPIED,VIC,-37.352088,144.02191,
BLIND BIGHT,VIC,-38.214496,145.334643,
BLOWHARD,VIC,-37.429004,143.787751,
BO PEEP,VIC,-37.545554,143.666137,
BOBINAWARRAH,VIC,-36.536086,146.489471,
BOCHARA,VIC,-37.69033,141.900819,
BOGONG,VIC,-36.796948,147.221549,
BOHO,VIC,-36.66863,145.795879,
BOHO SOUTH,VIC,-36.772774,145.827126,
BOIGBEAT,VIC,-35.561491,142.957227,
BOINKA,VIC,-35.157515,141.588695,
BOISDALE,VIC,-37.856375,146.96545,
BOLANGUM,VIC,-36.71538,142.998082,
BOLINDA,VIC,-37.438338,144.779558,
BOLTON,VIC,-34.959754,142.937539,
BOLWARRA,VIC,-38.280574,141.603715,
BOLWARRAH,VIC,-37.509503,144.107991,
BONA VISTA,VIC,-38.206719,145.969225,3820.0
BONANG,VIC,-37.148893,148.64785,
BONBEACH,VIC,-38.062998,145.127938,
BONEGILLA,VIC,-36.144418,146.985556,
BONEO,VIC,-38.408331,144.901819,
BONN,VIC,-36.413066,144.718296,
BONNIE BROOK,VIC,-37.700239,144.677095,
BONNIE DOON,VIC,-37.013997,145.864775,3720.0
BONSHAW,VIC,-37.603773,143.81349,
BOOKAAR,VIC,-38.110734,143.080816,
BOOLA,VIC,-38.051943,146.466802,
BOOLARONG,VIC,-38.565654,146.258962,
BOOLARRA,VIC,-38.382282,146.277389,
BOOLARRA SOUTH,VIC,-38.462552,146.306786,
BOOLE POOLE,VIC,-37.923353,147.820676,
BOOLITE,VIC,-36.340983,142.681683,
BOOMAHNOOMOONAH,VIC,-36.123892,146.099174,
BOONAH,VIC,-38.427583,143.983782,
BOORCAN,VIC,-38.22207,143.028662,
BOORHAMAN,VIC,-36.229331,146.321414,
BOORHAMAN EAST,VIC,-36.164437,146.334754,
BOORHAMAN NORTH,VIC,-36.102938,146.250374,
BOOROLITE,VIC,-37.15964,146.20494,
BOOROOL,VIC,-38.451538,146.055705,
BOORT,VIC,-36.123555,143.741931,
BOOSEY,VIC,-36.048053,145.795782,
BORALMA,VIC,-36.236339,146.406774,
BORNES HILL,VIC,-37.529484,142.489865,
BORONIA,VIC,-37.853818,145.289567,
BORUNG,VIC,-36.287499,143.776463,
BOSTOCKS CREEK,VIC,-38.301871,143.117548,
BOTANIC RIDGE,VIC,-38.135935,145.254264,
BOUNDARY BEND,VIC,-34.72981,143.098047,
BOWENVALE,VIC,-37.004665,143.701727,
BOWEYA,VIC,-36.276854,146.115238,
BOWEYA NORTH,VIC,-36.234418,146.106009,
BOWMANS FOREST,VIC,-36.469921,146.623425,3735.0
BOWSER,VIC,-36.309321,146.362051,
BOX HILL,VIC,-37.821321,145.126127,
BOX HILL NORTH,VIC,-37.805906,145.129092,
BOX HILL SOUTH,VIC,-37.836063,145.123475,
BOXWOOD,VIC,-36.320949,145.806204,
BRADFORD,VIC,-36.921688,144.059758,
BRADVALE,VIC,-37.794795,143.365663,
BRAESIDE,VIC,-38.001989,145.12373,
BRANDY CREEK,VIC,-38.103691,145.915179,
BRANXHOLME,VIC,-37.843087,141.809552,
BRAVINGTON,VIC,-38.082492,145.923126,
BRAYBROOK,VIC,-37.784634,144.855553,
BREAKAWAY CREEK,VIC,-38.032768,141.83025,
BREAKWATER,VIC,-38.177189,144.37412,
BREAMLEA,VIC,-38.294182,144.387504,
BRENANAH,VIC,-36.566824,143.715289,
BREWSTER,VIC,-37.496176,143.529398,
BRIAGOLONG,VIC,-37.809555,147.085089,
BRIAR HILL,VIC,-37.70607,145.123544,
BRIDGE CREEK,VIC,-36.904028,146.102942,
BRIDGEWATER,VIC,-36.638127,143.942774,
BRIDGEWATER NORTH,VIC,-36.549376,144.006231,
BRIDGEWATER ON LODDON,VIC,-36.602091,143.939056,
BRIGHT,VIC,-36.702772,147.044084,
BRIGHTON,VIC,-37.908028,144.994701,
BRIGHTON EAST,VIC,-37.916461,145.015175,
BRIM,VIC,-36.072228,142.443808,
BRIMBOAL,VIC,-37.394377,141.406604,
BRIMIN,VIC,-36.051905,146.260022,
BRIMPAEN,VIC,-37.063362,142.19676,
BRINGALBERT,VIC,-36.840992,141.157194,
BRIT BRIT,VIC,-37.408786,141.73451,
BROADFORD,VIC,-37.215565,145.053345,
BROADLANDS,VIC,-37.859476,147.690206,
BROADMEADOWS,VIC,-37.678898,144.928256,
BROADWATER,VIC,-38.121545,142.061859,
BRODRIBB RIVER,VIC,-37.697617,148.589933,
BROKEN CREEK,VIC,-36.434688,145.882534,
BROMLEY,VIC,-36.886915,143.787527,
BROOKFIELD,VIC,-37.701062,144.541364,
BROOKLYN,VIC,-37.814132,144.84183,
BROOKVILLE,VIC,-37.351962,147.648933,
BROOMFIELD,VIC,-37.384986,143.90634,
BROUGHTON,VIC,-36.154565,141.316148,
BROWN HILL,VIC,-37.546524,143.915566,
BROWNS PLAINS,VIC,-36.035223,146.627126,
BRUARONG,VIC,-36.419993,146.870749,
BRUCKNELL,VIC,-38.459369,142.903874,
BRUMBY,VIC,-37.019373,148.03964,
BRUNSWICK,VIC,-37.766736,144.960983,
BRUNSWICK EAST,VIC,-37.768475,144.978097,
BRUNSWICK WEST,VIC,-37.76393,144.944159,
BRUTHEN,VIC,-37.707665,147.853675,
BUANGOR,VIC,-37.384802,143.166772,
BUCHAN,VIC,-37.423526,148.103257,
BUCHAN SOUTH,VIC,-37.547098,148.07859,
BUCKLAND,VIC,-36.85635,146.903266,
BUCKLEY,VIC,-38.219268,144.092795,
BUCKLEY SWAMP,VIC,-37.856369,142.079114,
BUCKRABANYULE,VIC,-36.271311,143.509793,
BUDGEE BUDGEE,VIC,-37.548723,147.090465,
BUDGEREE,VIC,-38.419424,146.360158,
BUDGERUM EAST,VIC,-35.773571,143.652359,
BUFFALO,VIC,-38.676169,146.003674,
BUFFALO RIVER,VIC,-36.655013,146.659808,
BULART,VIC,-37.585912,141.917406,
BULDAH,VIC,-37.265429,149.124207,
BULGA,VIC,-35.304494,143.351021,
BULGANA,VIC,-37.135956,142.994958,
BULLA,VIC,-37.629824,144.803094,
BULLAHARRE,VIC,-38.349215,143.139174,
BULLAROOK,VIC,-37.508089,144.013321,
BULLARTO,VIC,-37.388057,144.225617,
BULLARTO SOUTH,VIC,-37.422845,144.217643,
BULLEEN,VIC,-37.766986,145.088496,
BULLENGAROOK,VIC,-37.481464,144.501265,
BULLIOH,VIC,-36.175409,147.358494,
BULLUMWAAL,VIC,-37.641908,147.582311,
BULN BULN,VIC,-38.092874,145.949008,
BULN BULN EAST,VIC,-38.07202,146.012816,
BUMBERRAH,VIC,-37.792291,147.834299,
BUNBARTHA,VIC,-36.250174,145.345703,
BUNDALAGUAH,VIC,-38.024292,147.009089,
