LOC_PID,LOC_NAME,LOC_CLASS,STATE,lat,lon
locb281644d861d,Belgrave South,Gazetted Locality,VIC,-37.94217301700696,145.3558158064318
loc8585329cc409,Bell Park,Gazetted Locality,VIC,-38.106220088698315,144.33836001720047
locc08b3f37ebf5,Bell Post Hill,Gazetted Locality,VIC,-38.09631347748159,144.3197458502633
loc8bbe850fb3d2,Bellarine,Gazetted Locality,VIC,-38.13201559770947,144.62207232526345
loc1e588c515677,Bellbird Creek,Gazetted Locality,VIC,-37.635760112724896,148.81649414753304
locb4db14713fd7,Bellbrae,Gazetted Locality,VIC,-38.343491717868176,144.24234438232656
loc9a08b3bda5f7,Bellbridge,Gazetted Locality,VIC,-36.09817121799564,147.05859784919656
locd3c522b5c415,Bellellen,Gazetted Locality,VIC,-37.13543586376321,142.69390336346004
loc42979bc97c35,Bellfield,Gazetted Locality,VIC,-37.75294668223161,145.03872911086822
loce9efa5a9608b,Bellfield,Gazetted Locality,VIC,-37.227636566718616,142.48408246870662
loca7762c5bab25,Bells Beach,Gazetted Locality,VIC,-38.37698732898585,144.25184744395045
loc315bbea2e96e,Belmont,Gazetted Locality,VIC,-38.180049995103644,144.34388791744158
loc8b205223941d,Bemm River,Gazetted Locality,VIC,-37.71655771485257,148.9287052176168
loc9214f734f5e9,Bena,Gazetted Locality,VIC,-38.43236822551079,145.74000217646204
locff58d0167065,Benalla,Gazetted Locality,VIC,-36.57073316943551,145.991051277287
locb6fe7c8c5fcf,Benambra,Gazetted Locality,VIC,-36.88916331202289,147.80170583313748
loc8fc20a19bc7c,Benayeo,Gazetted Locality,VIC,-36.842536099048196,141.04283009090983
loc71aec204b2b5,Bend of Islands,Gazetted Locality,VIC,-37.70049589757516,145.27784062844364
loce6098ac5df0c,Bendigo,Gazetted Locality,VIC,-36.75547397831345,144.28086771380546
loc77508b58c35b,Bendoc,Gazetted Locality,VIC,-37.18859040489558,148.89080998928063
loccdbf64bdb7a5,Bengworden,Gazetted Locality,VIC,-37.97442042062713,147.4391964917748
locf566612a5c2b,Benjeroop,Gazetted Locality,VIC,-35.49035043172579,143.84086927614584
loc25025363e687,Benloch,Gazetted Locality,VIC,-37.201265385831846,144.6755111667438
